Brand,Model,Type,Manufactured_year,Distance(km),Engine(cc),Price
Bajaj,Bajaj Pulsar 150 DD 2020,Motorbikes,2020,26000,150,148000
Bajaj,Bajaj Pulsar 150 . 2022,Motorbikes,2022,4100,150,203000
Bajaj,Bajaj Pulsar 150 . 2020,Motorbikes,2020,22000,150,130000
Bajaj,Bajaj Pulsar 150 2020,Motorbikes,2020,17000,150,145000
Bajaj,Bajaj Discover 135 2013,Motorbikes,2013,130000,135,130000
Bajaj,Bajaj Pulsar 150 2017,Motorbikes,2017,27700,150,122000
Bajaj,Bajaj Discover 125 2022,Motorbikes,2022,8500,125,132000
Bajaj,Bajaj Discover 125 . 2018,Motorbikes,2018,18400,125,97000
Bajaj,Bajaj Platina . 2023,Motorbikes,2023,90,11,45000
Bajaj,Bajaj Pulsar AS 2017,Motorbikes,2017,35000,150,110000
Bajaj,Bajaj Discover 125 . 2017,Motorbikes,2017,43900,125,105000
Bajaj,Bajaj Avenger 150 Street Cc 2017,Motorbikes,2017,23000,150,155000
Bajaj,Bajaj Discover 100 2013,Motorbikes,2013,60000,100,75000
Bajaj,Bajaj Discover 125 2019,Motorbikes,2019,24500,125,107000
Bajaj,Bajaj Pulsar 150 . 2019,Motorbikes,2019,28000,150,140000
Bajaj,Bajaj Pulsar 150 sd 2017,Motorbikes,2017,18500,1500,130000
Bajaj,Bajaj Pulsar super fresh 2016,Motorbikes,2016,27900,155,127500
Bajaj,Bajaj Pulsar super fresh 2019,Motorbikes,2019,22000,150,127500
Bajaj,Bajaj Discover 125 . 2001,Motorbikes,2001,10000,125,50000
Bajaj,Bajaj Discover 110cc 2023,Motorbikes,2023,4200,110,121000
Bajaj,Bajaj Pulsar 150 battery bick 2006,Motorbikes,2006,150,150,63000
Bajaj,Bajaj Pulsar 150 10 years 2015,Motorbikes,10,25000,150,79000
Bajaj,Bajaj Pulsar 150 SD ON-TEST 2022,Motorbikes,2022,5147,150,165000
Bajaj,Bajaj Pulsar 150 2018,Motorbikes,2018,35000,150,127000
Bajaj,Bajaj Pulsar 150 . 2013,Motorbikes,2013,54000,150,85000
Bajaj,Bajaj Pulsar 150 . 2018,Motorbikes,2018,30000,150,133000
Bajaj,Bajaj Discover 125 . 2021,Motorbikes,2021,23000,125,125000
Bajaj,Bajaj Pulsar 150 . 2013,Motorbikes,2013,80000,150,100000
Bajaj,Bajaj Pulsar 150 double disc 2020,Motorbikes,2020,54000,150,170000
Bajaj,Bajaj Pulsar 150 . 2020,Motorbikes,2020,25000,150,135000
Bajaj,Bajaj Pulsar 150 2013,Motorbikes,2013,10000,150,85000
Bajaj,Bajaj Discover 135 . 2009,Motorbikes,2009,100000,135,110000
Bajaj,Bajaj Pulsar 150 2020,Motorbikes,2020,19838,150,140000
Bajaj,Bajaj Discover 125 2022,Motorbikes,2022,9900,125,126000
Bajaj,Bajaj Pulsar 150 2021,Motorbikes,2021,27000,150,155000
Bajaj,Bajaj Pulsar AS . 2017,Motorbikes,2017,36000,150,85000
Bajaj,Bajaj Discover 125 . 2022,Motorbikes,2022,9000,125,118500
Bajaj,Bajaj Discover 2020,Motorbikes,2020,31000,110,96000
Bajaj,Bajaj Discover 125 সুন্দর একটি গাড়ি 2018,Motorbikes,2018,12508,125,82500
Bajaj,Bajaj V15 2018,Motorbikes,2018,18000,150,110000
